K25U06S*1C2025 10 26.18046223 13 08.101-05 10 32.52         18.57GVEU218703
     K25U06S 1C2025 10 26.18277023 13 17.994-05 08 34.37               VEU218703
     K25U06S 1C2025 10 26.18508623 13 27.768-05 06 40.39         18.74GVEU218703
     K25U06S 1C2025 10 26.18739523 13 37.884-05 04 40.22         18.36GVEU218703
     K25U06S mC2025 10 26.21228223 15 26.428-04 43 32.41         18.04GVEU218I52
     K25U06S mC2025 10 26.21239523 15 26.910-04 43 26.83         18.13GVEU218I52
     K25U06S mC2025 10 26.21250723 15 27.400-04 43 21.04         18.12GVEU218I52
     K25U06S mC2025 10 26.21263223 15 27.961-04 43 14.63         18.06GVEU218I52
     K25U06S  C2025 10 26.24325923 18 39.193-04 23 19.80         18.20GVEU218U74
     K25U06S  C2025 10 26.24656723 18 54.342-04 20 27.74         18.20GVEU218U74
     K25U06S mC2025 10 26.25149223 18 22.824-04 09 22.61         18.17GVEU218I52
     K25U06S mC2025 10 26.25159323 18 23.288-04 09 16.88         18.24GVEU218I52
     K25U06S mC2025 10 26.25169423 18 23.756-04 09 11.63         18.13GVEU218I52
     K25U06S mC2025 10 26.25179423 18 24.203-04 09 06.41         17.93GVEU218I52
     K25U06S mC2025 10 26.33468023 25 18.944-02 54 14.69         18.04GVEU218I52
     K25U06S mC2025 10 26.33481923 25 19.744-02 54 06.44         18.02GVEU218I52
     K25U06S mC2025 10 26.33495523 25 20.485-02 53 59.24         18.22GVEU218I52
     K25U06S mC2025 10 26.33509023 25 21.220-02 53 51.61         17.79GVEU218I52
