time,ra,dec,mag,site_code
2024-08-28T18:53:24.576,05 17 13.50,+28 07 38.7,15,P13
2024-08-28T18:56:45.888,05 17 21.43,+28 08 03.4,15,P13
2024-08-28T19:23:08.736,05 18 23.01,+28 11 11.0,15.2,P13
2024-08-29T19:26:51.648,06 32 13.45,+27 52 35.8,17.7,P13
2024-08-29T19:53:40.416,06 33 33.04,+27 53 13.9,17.7,P13
2024-08-29T20:13:05.952,06 34 29.13,+27 53 34.6,17.1,P13
2024-09-23T19:16:41.664,04 20 38.10,+24 43 32.4,16.6,P13
2024-09-23T19:19:38.784,04 20 41.30,+24 43 54.3,16.7,P13
2024-09-23T19:22:57.504,04 20 44.78,+24 44 19.6,16.8,P13
2024-09-23T19:23:52.800,04 21 49.68,+24 45 59.3,18.3,P13
2024-09-23T19:25:54.624,04 20 47.89,+24 44 40.6,16.3,P13
2024-09-23T19:29:58.272,04 20 52.14,+24 45 10.9,16.8,P13
2024-09-23T19:31:15.168,04 21 57.41,+24 46 52.4,18.8,P13
2024-09-23T19:33:16.992,04 20 55.70,+24 45 34.8,17.2,P13
2024-09-23T19:37:42.240,04 21 00.32,+24 46 06.5,16.9,P13
2024-09-23T19:38:37.536,04 22 05.11,+24 47 45.0,18.4,P13
2024-09-23T19:42:07.488,04 21 04.89,+24 46 37.4,16.9,P13
2024-09-24T18:46:03.936,05 07 23.18,+26 51 55.2,17.1,P13
2024-09-24T18:49:45.120,05 07 28.65,+26 52 22.8,16.9,P13
2024-09-24T18:53:26.304,05 07 34.07,+26 52 50.6,16.9,P13
2024-09-24T18:56:56.256,05 08 21.58,+26 52 48.7,18.7,P13
2024-09-24T18:57:07.488,05 07 39.56,+26 53 18.0,17.2,P13
2024-09-24T19:00:48.672,05 07 44.96,+26 53 44.8,17.2,P13
2024-09-24T19:04:28.992,05 07 50.35,+26 54 11.5,17.2,P13
2024-09-24T19:08:32.640,05 07 56.22,+26 54 40.1,17.1,P13
2024-09-24T19:11:51.360,05 08 01.05,+26 55 03.9,16.8,P13
2024-10-27T21:17:07.296,11 40 56.98,+01 02 10.8,17.2,P13
2024-10-27T21:18:35.424,11 40 59.80,+01 01 44.1,16.2,P13
2024-10-27T21:20:03.552,11 41 02.75,+01 01 17.7,17,P13
2024-10-27T21:21:31.680,11 41 05.63,+01 00 52.0,16.5,P13
2024-10-27T21:22:59.808,11 41 08.50,+01 00 24.2,16.5,P13
2024-10-27T21:24:27.936,11 41 11.44,+00 59 57.5,16.5,P13
2024-10-27T21:25:56.064,11 41 14.29,+00 59 32.0,17.1,P13
2024-10-27T21:27:24.192,11 41 17.10,+00 59 05.3,16.9,P13
2024-10-27T21:28:53.184,11 41 20.02,+00 58 38.5,17.1,P13
2024-10-27T21:30:21.312,11 41 22.91,+00 58 13.1,16.3,P13
2024-12-18T16:14:00.960,07 44 17.78,+25 02 57.8,17.1,P13
2024-12-18T16:18:02.880,07 44 25.10,+25 02 31.4,17.5,P13
2024-12-18T16:22:03.936,07 44 32.47,+25 02 03.8,17.4,P13
2024-12-18T16:25:47.712,07 44 39.26,+25 01 38.0,17.2,P13
2024-12-19T15:36:23.328,08 48 34.07,+20 20 55.8,16.2,P13
2024-12-19T15:44:30.624,08 48 52.67,+20 19 22.9,16.4,P13
2024-12-19T15:48:34.272,08 49 01.85,+20 18 36.5,16.5,P13
2024-12-19T16:36:49.536,08 50 48.43,+20 08 59.5,18.6,P13
2024-12-19T16:37:28.416,08 51 51.78,+20 16 14.9,16.2,O46
2024-12-19T16:38:51.360,08 50 52.75,+20 08 34.4,16.2,P13
2024-12-19T16:40:53.184,08 50 57.13,+20 08 09.3,16.8,P13
2024-12-19T16:41:23.424,08 52 00.68,+20 15 31.6,16,O46
2024-12-19T16:42:55.008,08 51 01.46,+20 07 44.3,16.2,P13
2024-12-19T16:44:56.832,08 51 05.79,+20 07 18.0,16.7,P13
2024-12-19T16:45:18.432,08 52 09.38,+20 14 47.9,15.9,O46
2024-12-19T16:46:59.520,08 51 10.13,+20 06 52.6,16.1,P13
2024-12-19T16:49:01.344,08 51 14.43,+20 06 26.9,16.4,P13
2024-12-19T16:49:12.576,08 52 18.07,+20 14 03.1,16.1,O46
2024-12-19T16:51:03.168,08 51 18.75,+20 06 01.6,16.3,P13
2024-12-19T16:53:06.720,08 52 26.71,+20 13 20.0,15.9,O46
2024-12-19T16:56:57.408,08 52 35.15,+20 12 35.9,16,O46
