"Type","TypeDesc","ErrorCode","Filename","LineNumber","DateTime","ComputerName","UserName","Message"
1,"MsgWnd",0,"",0,05/06/2022 18:33:21,"ZHR-LAPTOP","haozh","An STK EOIR license exists but the Earth Hi Res Imagery file (""C:\Program Files\AGI\STK 12\EOIR_Databases\MaterialMaps\earthHiRes.dat"") could not be found. Indicating EOIR has not been installed."
3,"Default",0,"AgStkInitObj.cpp",2226,05/06/2022 18:33:21,"ZHR-LAPTOP","haozh","STK Radar Advanced Environment license is present, but a valid install was not found."
3,"Default",0,"AgStkInitObj.cpp",1889,05/06/2022 18:33:22,"ZHR-LAPTOP","haozh","STK Space Environment and Effects Tool license is present, but a valid install was not found."
3,"Default",0,"AgStkInitObj.cpp",1892,05/06/2022 18:33:22,"ZHR-LAPTOP","haozh","Install or Update STK SEET to match the STK version 12.2.0."
1,"MsgWnd",0,"",0,05/06/2022 18:33:23,"ZHR-LAPTOP","haozh","STK MATLAB Interface:  Loaded API at C:\Program Files\MATLAB\R2017b\bin\win64."
2,"Default",0,"AgApRmtMsg.cpp",1332,05/06/2022 18:33:23,"ZHR-LAPTOP","haozh","STK/CON: Initializing STK/CON module."
2,"Default",0,"AgApRmtMsg.cpp",1512,05/06/2022 18:33:23,"ZHR-LAPTOP","haozh","STK/CON: Accepting connection requests"
3,"Default",0,"AgSTKCommRdrComponentMgrScExt.cpp",1004,05/06/2022 18:33:24,"ZHR-LAPTOP","haozh","STK TIREM license present; but a valid TIREM install was not found. Install STK/TIREM."
3,"Default",0,"AgSTKCommRdrComponentMgrScExt.cpp",923,05/06/2022 18:33:24,"ZHR-LAPTOP","haozh","STK Communications License for Urban Propagation Extension present; but a valid install was not found.  Install Urban Propagation Extension."
1,"Default",0,"AgScriptManager.cpp",530,05/06/2022 18:33:45,"ZHR-LAPTOP","haozh","Loaded initialization script file C:\Program Files\AGI\STK 12\STKData\Scripting/Init/AgCallFunctionOneArgReturnOne.vbs"
1,"Default",0,"AgScriptManager.cpp",530,05/06/2022 18:33:45,"ZHR-LAPTOP","haozh","Loaded initialization script file C:\Program Files\AGI\STK 12\STKData\Scripting/Init/FunctionInterface.vbs"
4,"Default",0,"AgShooterDiffCorr.cpp",4027,05/06/2022 18:35:54,"ZHR-LAPTOP","haozh","Changing controls by perturbation does not affect constraints in differential corrector profile toEarth.  Stopping profile."
4,"Default",0,"AgShooterDiffCorr.cpp",4027,05/06/2022 18:36:43,"ZHR-LAPTOP","haozh","Changing controls by perturbation does not affect constraints in differential corrector profile toEarth.  Stopping profile."
4,"Default",0,"AgShooterDiffCorr.cpp",4027,05/06/2022 18:37:21,"ZHR-LAPTOP","haozh","Changing controls by perturbation does not affect constraints in differential corrector profile toEarth.  Stopping profile."
3,"MsgWnd",0,"AgVarStepIntegrator.cpp",341,05/06/2022 18:37:35,"ZHR-LAPTOP","haozh","Warning: Minimum step size reached in integrator, integration errors may be above tolerance."
3,"Default",-1,"",0,05/06/2022 18:37:35,"ZHR-LAPTOP","haozh","Satellite trajectory intersects with Earth during Target_Sequence.TargSeq_1.Bw_Seq_1.Prop2Earth segment Collision occurred: 10 Apr 2023 18:44:50.778"
3,"MsgWnd",0,"AgVarStepIntegrator.cpp",341,05/06/2022 18:37:36,"ZHR-LAPTOP","haozh","Warning: Minimum step size reached in integrator, integration errors may be above tolerance."
3,"Default",-1,"",0,05/06/2022 18:37:36,"ZHR-LAPTOP","haozh","Satellite trajectory intersects with Earth during Target_Sequence.TargSeq_1.Bw_Seq_1.Prop2Earth segment Collision occurred: 10 Apr 2023 18:44:50.778"
3,"MsgWnd",0,"AgVarStepIntegrator.cpp",341,05/06/2022 18:37:36,"ZHR-LAPTOP","haozh","Warning: Minimum step size reached in integrator, integration errors may be above tolerance."
3,"Default",-1,"",0,05/06/2022 18:37:36,"ZHR-LAPTOP","haozh","Satellite trajectory intersects with Earth during Target_Sequence.TargSeq_1.Bw_Seq_1.Prop2Earth segment Collision occurred: 10 Apr 2023 18:44:59.280"
3,"MsgWnd",0,"AgVarStepIntegrator.cpp",341,05/06/2022 18:37:37,"ZHR-LAPTOP","haozh","Warning: Minimum step size reached in integrator, integration errors may be above tolerance."
3,"Default",-1,"",0,05/06/2022 18:37:37,"ZHR-LAPTOP","haozh","Satellite trajectory intersects with Earth during Target_Sequence.TargSeq_1.Bw_Seq_1.Prop2Earth segment Collision occurred: 10 Apr 2023 18:44:50.479"
3,"MsgWnd",0,"AgVarStepIntegrator.cpp",341,05/06/2022 18:37:37,"ZHR-LAPTOP","haozh","Warning: Minimum step size reached in integrator, integration errors may be above tolerance."
3,"Default",-1,"",0,05/06/2022 18:37:37,"ZHR-LAPTOP","haozh","Satellite trajectory intersects with Earth during Target_Sequence.TargSeq_1.Bw_Seq_1.Prop2Earth segment Collision occurred: 10 Apr 2023 18:21:12.055"
3,"MsgWnd",0,"AgVarStepIntegrator.cpp",341,05/06/2022 18:37:38,"ZHR-LAPTOP","haozh","Warning: Minimum step size reached in integrator, integration errors may be above tolerance."
3,"Default",-1,"",0,05/06/2022 18:37:38,"ZHR-LAPTOP","haozh","Satellite trajectory intersects with Earth during Target_Sequence.TargSeq_1.Bw_Seq_1.Prop2Earth segment Collision occurred: 10 Apr 2023 17:35:33.737"
3,"MsgWnd",0,"AgVarStepIntegrator.cpp",341,05/06/2022 18:37:38,"ZHR-LAPTOP","haozh","Warning: Minimum step size reached in integrator, integration errors may be above tolerance."
3,"Default",-1,"",0,05/06/2022 18:37:38,"ZHR-LAPTOP","haozh","Satellite trajectory intersects with Earth during Target_Sequence.TargSeq_1.Bw_Seq_1.Prop2Earth segment Collision occurred: 10 Apr 2023 17:13:19.483"
3,"MsgWnd",0,"AgVarStepIntegrator.cpp",341,05/06/2022 18:37:39,"ZHR-LAPTOP","haozh","Warning: Minimum step size reached in integrator, integration errors may be above tolerance."
3,"Default",-1,"",0,05/06/2022 18:37:39,"ZHR-LAPTOP","haozh","Satellite trajectory intersects with Earth during Target_Sequence.TargSeq_1.Bw_Seq_1.Prop2Earth segment Collision occurred: 10 Apr 2023 16:51:06.582"
3,"MsgWnd",0,"AgVarStepIntegrator.cpp",341,05/06/2022 18:37:39,"ZHR-LAPTOP","haozh","Warning: Minimum step size reached in integrator, integration errors may be above tolerance."
3,"Default",-1,"",0,05/06/2022 18:37:39,"ZHR-LAPTOP","haozh","Satellite trajectory intersects with Earth during Target_Sequence.TargSeq_1.Bw_Seq_1.Prop2Earth segment Collision occurred: 10 Apr 2023 16:28:26.957"
3,"MsgWnd",0,"AgVarStepIntegrator.cpp",341,05/06/2022 18:37:40,"ZHR-LAPTOP","haozh","Warning: Minimum step size reached in integrator, integration errors may be above tolerance."
